volact,cntry,female,yrbrn,eduyrs,domicil,married,children,houseperson,wkhtot,church,sclmeet,social_trust,tolerance,self_realisation,solidarity,tvpol,tvtot,political_interest,trust_exe,trust_leg,trstep,stfdem,dweight
0,"AL",1,1984,8,3,1,1,1,0,4,5,16,5,5,6,2,4,3,2.5,1,5,5,1.1962531
0,"AL",0,1964,12,3,1,1,0,52,2,2,20,4,6,6,1,7,1,5,4,7,3,3.1900082
1,"AL",1,1982,8,4,1,1,0,0,7,3,5,,5,5,3,6,1,2,0,3,10,1.1274509
0,"AL",1,1936,4,4,1,0,0,60,5,7,20,5,6,6,2,4,1,10,7.5,10,3,.59620693
0,"AL",1,1991,3,4,1,1,0,0,5,3,16,5,5,5,2,6,1,10,8,9,9,1.1924139
0,"AL",0,1953,12,4,1,1,0,56,3,3,12,5,5,5,1,2,3,.5,0,3,0,1.1274509
1,"AL",0,1963,8,4,1,1,0,,5,3,11,5,5,6,2,3,4,5,0,10,0,1.1274509
0,"AL",0,1951,12,4,1,1,0,60,4,7,3,5,6,5,5,7,3,5,0,7,7,1.2070132
1,"AL",1,1957,12,4,1,0,0,50,5,6,23,5,5,6,2,4,4,0,6.5,10,0,.59620693
0,"AL",0,1985,8,4,0,0,0,0,4,4,8,5,5,6,6,3,1,1.5,1.5,9,0,1.2070132
1,"AL",0,1990,8,4,1,0,0,0,1,5,19,6,6,5,2,2,2,9,7,8,5,.56372545
1,"AL",0,1941,7,4,1,0,0,,1,7,13,5,5,6,3,6,4,5.5,3.5,10,3,.59789122
1,"AL",0,1943,12,3,1,1,0,48,3,7,4,3,6,5,4,7,3,1,0,5,1,2.7912572
0,"AL",0,1995,12,4,0,0,0,0,1,5,9,3,4,6,1,3,1,5,2.5,6,6,.29521537
0,"AL",0,1941,5,4,1,0,0,16,3,5,21,,,,4,7,4,8,8,10,10,.59789122
1,"AL",1,1970,8,3,1,0,1,45,2,6,10,4,6,6,3,4,1,4.5,1.5,9,5,.19681025
0,"AL",1,,12,3,1,1,0,15,1,2,19,5,5,4,2,7,2,6,0,10,3,.27061409
0,"AL",1,1979,8,4,1,1,0,0,3,5,22,5,4,5,2,7,2,5,6.5,6,7,.55926325
0,"AL",1,1958,12,3,1,0,1,50,1,3,16,5,6,6,2,1,1,3.5,3.5,10,4,.19681025
0,"AL",0,1996,10,3,0,0,0,0,2,7,7,6,6,6,0,3,1,6,0,0,,.3936205
0,"AL",0,,,,,0,0,0,1,2,23,,,,2,5,3,2.5,2.5,8,0,4
1,"AL",0,1945,7,4,1,1,0,,1,3,13,5,5,5,6,7,2,2.5,4,10,0,1.1274509
1,"AL",1,1991,15,4,0,0,0,0,3,7,13,4,2,4,1,3,2,10,0,8,4,1.1185265
1,"AL",1,1960,8,2,1,1,0,0,4,7,19,5,5,4,6,4,1,3,2,,3,1.1185265
0,"AL",0,1960,8,4,0,1,0,48,3,4,10,5,5,5,2,4,2,2,2,8,5,.29882269
0,"AL",0,1939,12,3,1,0,0,48,3,4,23,3,3,4,3,7,1,2.5,0,8,8,.19798128
1,"AL",0,1966,12,4,1,0,0,30,2,4,8,5,5,6,2,5,1,0,1.5,6,2,.59764537
0,"AL",0,1950,11,4,1,0,0,80,3,4,25,5,2,5,3,7,3,3.5,1,8,8,.59764537
1,"AL",0,1996,12,1,,1,0,60,3,3,16,5,5,5,3,2,3,4.5,2,10,2,4
1,"AL",1,1957,12,1,0,0,0,40,6,6,12,5,5,5,4,5,4,10,10,10,9,1.8150386
0,"AL",0,1970,12,1,1,1,0,40,5,7,6,2,6,6,3,3,3,1,0,10,0,.32030092
1,"AL",0,1944,16,1,1,0,0,,6,4,19,5,5,5,4,7,2,1.5,1,10,2,1.9218055
0,"AL",1,1966,13,1,1,1,0,0,3,5,27,5,6,6,0,7,1,6,2.5,8,5,1.7082716
0,"AL",1,1983,8,2,1,1,1,0,2,4,4,5,2,5,0,4,2,6,3,7,2,.19342935
0,"AL",1,1972,17,3,1,1,0,30,3,2,14,5,5,4,3,4,3,2,5,8,7,4
1,"AL",0,1955,13,3,1,0,0,56,1,2,11,5,5,5,1,7,2,4,1.5,10,6,.59791106
0,"AL",1,1990,15,1,0,0,0,49,2,6,8,5,6,5,0,0,1,3,0,10,0,.29014402
0,"AL",1,1967,8,3,1,1,0,,1,3,17,,4,,2,2,1,8,4.5,10,8,2.1666086
0,"AL",1,1977,8,3,1,1,0,0,2,3,24,5,6,6,7,7,1,5,2.5,8,7,1.8570931
0,"AL",0,1977,8,1,1,1,0,60,1,1,20,5,5,5,2,5,1,0,0,5,5,2.9014402
0,"AL",1,1981,8,3,,1,0,0,1,4,13,5,5,5,2,4,1,2.5,0,0,1,.3868587
1,"AL",0,1955,8,4,1,1,0,16,2,3,13,2,5,5,1,3,2,3.5,1.5,5,0,.8968666
1,"AL",1,,4,3,1,1,0,,1,6,16,,4,5,3,6,2,9,6.5,9,7,4
0,"AL",1,1958,8,3,1,1,0,0,2,4,6,,,,2,3,2,2,.5,0,3,.63799323
1,"AL",1,1975,12,3,1,1,0,0,2,3,6,5,5,6,5,6,3,9,4,5,4,.48357337
0,"AL",0,1939,4,3,1,1,0,64,1,2,8,5,6,6,6,7,1,1.5,.5,,1,.58028805
0,"AL",0,1946,8,3,1,1,0,8,5,7,14,5,6,6,2,3,1,6,2.5,5,5,.41268735
1,"AL",0,1992,15,3,0,0,0,20,3,6,11,5,6,6,2,6,3,3,3,7,5,.10134036
0,"AL",1,1982,17,3,1,1,0,65,2,3,9,3,4,5,1,2,2,1,1,3,0,.63799323
0,"AL",0,1954,8,3,1,1,0,,2,3,3,5,5,5,2,4,3,.5,2,7,5,1.7937332
1,"AL",1,1995,11,3,0,0,0,0,1,6,19,5,5,5,1,5,2,7,3.5,7,4,.52411984
0,"AL",1,1929,4,3,0,1,0,,3,6,24,,4,5,7,7,3,9,6,,1,.21346918
0,"AL",1,1994,12,3,0,0,0,0,6,6,13,5,4,6,2,2,2,3,8,10,6,3.1899661
0,"AL",0,1961,9,3,1,1,0,,1,7,25,5,6,6,2,4,2,7,3.5,10,5,.15201054
0,"AL",1,1982,8,3,0,0,0,0,3,4,6,3,6,4,1,7,1,10,0,9,7,.42532882
1,"AL",0,1987,12,4,0,0,0,0,5,6,16,5,5,5,2,7,3,.5,0,8,6,2.0116887
0,"AL",0,1978,8,4,1,1,0,43,6,7,19,3,6,6,0,0,2,5,2,9,0,.80467546
0,"AL",1,1939,5,3,1,0,0,,3,6,20,,3,3,5,7,2,8,6,,7,.10673459
1,"AL",1,1970,15,3,1,1,0,40,3,5,12,6,6,6,1,1,3,8,6,10,9,.41268735
0,"AL",0,1960,10,3,0,0,0,42,3,6,12,6,6,6,0,5,2,.5,0,5,0,.10460941
0,"AL",1,1977,8,3,1,1,0,0,1,3,10,5,5,5,0,0,1,2.5,0,10,8,1.2578876
1,"AL",0,1979,12,3,1,1,0,,3,7,31,5,5,5,4,7,2,2.5,7.5,5,5,.31447191
